signal_date,stock_code,stock_name,prob,threshold,future_days,stop_loss_percent,entry_slippage_percent,exit_slippage_percent,stop_slippage_percent,commission_percent,status,planned_buy_price,actual_buy_price,planned_sell_price,actual_sell_price,buy_price,sell_price,profit,profit_rate,commission,exit_reason,exit_date
2026-07-15,5020,ENEOS,0.2216595382215368,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1271.0,1271.38,1233.24,1232.01,1271.38,1232.01,-9253,-3.1,0.0,STOP,2026-07-17
2026-07-16,5020,ENEOS,0.1744043223608674,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1264.0,1264.38,1300.5,1300.11,1264.38,1300.11,8468,2.83,0.0,TIME,2026-07-21
2026-07-17,5020,ENEOS,0.629521284920655,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1291.0,1291.39,1320.0,1319.6,1291.39,1319.6,6546,2.18,0.0,TIME,2026-07-22
2026-07-21,5020,ENEOS,0.1701358722812397,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1293.5,1293.89,1337.0,1336.6,1293.89,1336.6,9866,3.3,0.0,TIME,2026-07-23
2026-07-22,5020,ENEOS,0.227356626159839,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1316.5,1316.89,1320.0,1319.6,1316.89,1319.6,614,0.21,0.0,TIME,2026-07-24
2026-07-23,5020,ENEOS,0.3444355297666473,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1330.0,1330.4,1323.5,1323.1,1330.4,1323.1,-1641,-0.55,0.0,TIME,2026-07-27
2026-08-03,5020,ENEOS,0.2819161713057248,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1294.0,1294.39,1283.0,1282.62,1294.39,1282.62,-2719,-0.91,0.0,TIME,2026-08-05
2026-08-04,5020,ENEOS,0.5546170340944552,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1279.0,1279.38,1300.0,1299.61,1279.38,1299.61,4732,1.58,0.0,TIME,2026-08-06
2026-08-05,5020,ENEOS,0.2722607341454447,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1272.0,1272.38,1349.5,1349.1,1272.38,1349.1,18027,6.03,0.0,TIME,2026-08-07
2026-08-06,5020,ENEOS,0.5083400525601172,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1330.0,1330.4,1290.49,1289.2,1330.4,1289.2,-9270,-3.1,0.0,STOP,2026-08-10
2026-08-07,5020,ENEOS,0.1545145838782924,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1329.0,1329.4,1289.52,1288.23,1329.4,1288.23,-9263,-3.1,0.0,STOP,2026-08-10
2026-08-10,5020,ENEOS,0.3380810863768597,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1315.5,1315.89,1276.42,1275.14,1315.89,1275.14,-9250,-3.1,0.0,STOP,2026-08-12
2026-08-12,5020,ENEOS,0.2769202656254671,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1290.0,1290.39,1291.0,1290.61,1290.39,1290.61,52,0.02,0.0,TIME,2026-08-14
2026-08-13,5020,ENEOS,0.6012902739572376,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1285.0,1285.39,1294.5,1294.11,1285.39,1294.11,2033,0.68,0.0,TIME,2026-08-17
2026-08-14,5020,ENEOS,0.4522761801001922,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1305.5,1305.89,1318.5,1318.1,1305.89,1318.1,2796,0.94,0.0,TIME,2026-08-18
2026-08-18,5020,ENEOS,0.3588966718561263,0.15,2,3.0,0.03,0.03,0.1,0.0,DONE,1301.0,1301.39,1303.0,1302.61,1301.39,1302.61,280,0.09,0.0,TIME,2026-08-20
2026-08-19,5020,ENEOS,0.3641478306070357,0.15,2,3.0,0.03,0.03,0.1,0.0,PENDING,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
2026-08-20,5020,ENEOS,0.7015257843464745,0.15,2,3.0,0.03,0.03,0.1,0.0,PENDING,0,0,0,0,0,0,0,0,0,,
